date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017-08-10,7427823197.56,257831,55134700000,3341.84,1515110000,1674.99999997,193.18600288
2017-08-11,9212240374.47,283857,55668000000,3373.82,2021190000,1799.9999945,234.94470776
2017-08-12,6577950601.85,260386,60242100000,3650.63,2219590000,1687.5,210.75240215
2017-08-13,7438423565.01,263162,64034100000,3880.04,3159090000,1850,189.71104645
2017-08-14,9178407106.93,255232,67112300000,4066.1,2463090000,1624.99999999,249.18827383
2017-08-15,8550156958.43,310850,71425500000,4326.99,3258050000,1900,350.45038263
2017-08-16,9812944255.93,274736,69342700000,4200.34,2272040000,1625,347.52500864
2017-08-17,10098981727.1,347140,72389100000,4384.44,2553360000,2237.49999995,365.31634912
2017-08-18,9353045628.31,312101,71406500000,4324.34,2941710000,1862.49999998,337.96192315
2017-08-19,8147578288.58,266681,68333100000,4137.75,2975820000,1887.49999999,265.91179875
2017-08-20,6532023130.42,210722,69192700000,4189.31,2109770000,1624.99999997,208.98199632
2017-08-21,8441196696.75,236657,67567100000,4090.48,2800890000,1437.49999998,297.96496478
2017-08-22,6053667060.94,196194,66051000000,3998.35,3764240000,1112.49999998,334.18474513
2017-08-23,8413233817.68,315575,67553000000,4089.01,2369820000,1987.49999919,541.97068157
2017-08-24,5684214366.59,203704,68363900000,4137.6,2037750000,1262.49918239,386.00005183
2017-08-25,4751050826.15,208068,71595100000,4332.82,1727970000,1262.5,425.81587924
2017-08-26,5259878902.16,226380,72249100000,4372.06,1511610000,1312.5,425.31312205
2017-08-27,4650175824.92,261736,71809200000,4345.1,1537460000,1937.49999994,358.84272776
2017-08-28,6517025771.08,223642,72467900000,4384.45,1959330000,1612.49999998,378.17846686
2017-08-29,7018030613.49,280967,72553800000,4389.21,2486080000,1862.49999996,461.76014169
2017-08-30,5835254305.84,271298,75556600000,4570.36,1937850000,2099.99999998,388.49753064
2017-08-31,6226919988.26,280561,75322300000,4555.59,1944930000,2037.49996998,413.21492693
2017-09-01,6543906418.43,283496,77748400000,4701.76,2599080000,2174.99998996,382.74201645
2017-09-02,5610016658.54,236647,81060600000,4901.42,2722140000,2049.99999998,290.49925995
2017-09-03,5010712909.93,195135,75841700000,4585.27,1933190000,1924.99999996,239.13526993
2017-09-04,8545309304.08,269105,75955500000,4591.63,2987330000,2187.49997998,325.40170022
2017-09-05,25112357217.9,277751,69954400000,4228.29,2697970000,2462.49999998,281.90480314
2017-09-06,8919302509.51,276063,72418700000,4376.59,2172100000,2024.99999997,272.599878
2017-09-07,8659631981.48,256198,75945000000,4589.14,1844620000,2199.99999998,257.33579477
2017-09-08,8472648110.09,279313,76220200000,4605.16,2700890000,2187.49999997,217.76572464
2017-09-09,6635864057.29,217721,70017200000,4229.81,1386230000,2112.49999997,144.8504163
2017-09-10,5750112286.75,193102,70018100000,4229.34,1679090000,1725,143.23841995
2017-09-11,8802227083.73,253318,68256000000,4122.47,1557330000,2174.99999997,159.73383044
2017-09-12,8348960668.04,256042,69033400000,4168.88,1864530000,2349.99999996,148.90795624
2017-09-13,9572197287.25,263130,68432200000,4131.98,2219410000,2374.99999998,133.73148674
2017-09-14,9855261811.07,267894,64191600000,3875.37,2716310000,2174.99999997,153.73503591
2017-09-15,9379883364.28,291899,52453500000,3166.3,4148070000,2249.99999997,174.81664791
